縣市,09月,08月,07月,06月,05月,04月,03月,02月,01月
新北市,2255281180,2146549391,2150896741,1758844195,1597783545,1465677061,1537597643,1469296909,1411728602
台北市,1689536881,1607541328,1656312676,1351108972,1223979979,1045306422,1122595681,1050434812,1064385176
桃園市,2546388235,2654414215,2494385786,2330464383,2147381475,2124239208,2202557770,2135565359,1972791525
台中市,3071752309,3020694361,3050761712,2750821746,2643905951,2457795348,2582461852,2422762549,2357417131
台南市,2634189848,2664155102,2661078964,2440387980,2333205440,2193709978,2245531615,2091983939,2046527737
高雄市,2765039109,2605655256,2728924094,2424178157,2447605869,2241572836,2418661277,2185989747,2221899351
宜蘭縣,334788345,342791092,331928647,291255507,270089067,244557550,266666250,258829484,239657610
新竹縣,879775329,914502754,894180419,839435410,794786378,744766889,765408441,733405666,718123583
苗栗縣,653142753,641269529,646856184,578692128,579704562,525384384,566457852,505754580,501860642
彰化縣,1075361319,1053972439,1042540371,930230995,865757294,841366893,892314247,849276020,794644221
南投縣,256418732,273627857,253276002,250540790,217656668,219185268,216842993,227304176,194957545
雲林縣,541505336,525271506,538151987,481252454,457260137,427774846,447808254,417728407,401965237
嘉義縣,282705771,263761862,282313304,240935759,226960577,219427568,218497232,200429596,190255862
屏東縣,470503515,443368756,485472425,422318760,398916152,359509070,370609848,354158038,340123435
台東縣,96289717,102532603,95246068,86516177,71517525,71256267,69551322,72337718,64251786
花蓮縣,220512434,230728072,225052852,209399210,195129951,187690541,187875773,188897544,169665540
基隆市,151926306,160973047,142988080,130559940,108236200,108403171,104443652,111851276,95812943
新竹市,960098153,973346067,983411445,896128064,884152227,800699158,831006346,766760168,794848380
嘉義市,124471553,119820624,123560613,104604698,93182364,82217950,84725603,82274837,78277673
澎湖縣,53398656,44894891,48841344,36172710,35618412,29256140,33499021,29838700,32569001
金門縣,34621574,29204037,31308910,24048704,24240610,19327425,22808028,19752875,21061495
連江縣,8365310,7610397,7980585,5882413,5905399,5349662,5768070,5443052,5461163
